Count,Sr.No.,Instrument,Company Name,Intial Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
147,147,BLR,Aakash Textiles Exports Private Limited,CARE A4,15-04-13,,,,,,,,,,,,,,,,,,,,
148,148,BLR,Aakavi Spinning Mills Private Limited,CARE BB,12-04-16,CARE BB; INC,12-05-17,,,,,,,,,,,,,,,,,,
149,149,BLR,Aakavi Spinning Mills Private Limited,CARE BB,12-04-16,CARE BB; INC,12-05-17,,,,,,,,,,,,,,,,,,
150,150,BLR,Aamor Inox Limited,CARE BB+,10-08-16,CARE BB; INC,02-02-18,,,,,,,,,,,,,,,,,,
151,151,BLR,Aamor Inox Limited,CARE BB+ / CARE A4+,10-08-16,CARE BB / CARE A4; INC,02-02-18,,,,,,,,,,,,,,,,,,
152,152,BLR,Aaren Exports,CARE B+ / CARE A4,07-11-13,CARE B+,08-02-16,CARE B+; Stable,03-03-17,,,,,,,,,,,,,,,,
153,153,BLR,Aaren Exports,CARE A4,07-11-13,,,,,,,,,,,,,,,,,,,,
154,154,LT Instruments,Aarish Solar Power Private Limited,CARE AA- (SO); Stable,22-09-17,,,,,,,,,,,,,,,,,,,,
155,155,BLR,Aarnav Industries Private Limited,CARE A3+,22-04-16,,,,,,,,,,,,,,,,,,,,
156,156,BLR,Aarnav Industries Private Limited,CARE BBB,22-04-16,CARE BBB; Positive,02-05-17,,,,,,,,,,,,,,,,,,
157,157,BLR,Aarnav Industries Private Limited,CARE BBB,22-04-16,CARE BBB; Positive,02-05-17,,,,,,,,,,,,,,,,,,
158,158,BLR,Aarnav Industries Private Limited,CARE BBB / CARE A3+,22-04-16,CARE BBB; Positive / CARE A3+,02-05-17,,,,,,,,,,,,,,,,,,
159,159,BLR,Aarohi Constructions Private Limited,CARE BB-,07-04-16,CARE BB-; INC,07-04-17,CARE BB-; Stable,24-07-17,,,,,,,,,,,,,,,,
160,160,BLR,Aarohi Solar Private Limited,CARE BBB (SO),05-07-16,CARE BBB+; Stable,01-12-17,,,,,,,,,,,,,,,,,,
161,161,BLR,Aarohi Solar Private Limited,CARE BBB-,05-07-16,CARE BBB+; Stable,01-12-17,,,,,,,,,,,,,,,,,,
162,162,BLR,Aarti Drugs Limited,CARE A+; Stable,09-01-18,,,,,,,,,,,,,,,,,,,,
163,163,ST Instruments,Aarti Drugs Limited,CARE A1+,09-01-18,,,,,,,,,,,,,,,,,,,,
164,164,BLR,Aarti Drugs Limited,CARE A+; Stable / CARE A1+,09-01-18,,,,,,,,,,,,,,,,,,,,
165,165,BLR,Aarti Infra Projects Private Limited,CARE D,15-06-15,CARE D; INC,02-05-17,,,,,,,,,,,,,,,,,,
166,166,BLR,Aarti Sponge and Power Limited,CARE BBB-; Stable,26-06-17,,,,,,,,,,,,,,,,,,,,
167,167,BLR,Aarti Sponge and Power Limited,CARE BBB-,26-07-12,CARE BBB-; Stable,26-06-17,,,,,,,,,,,,,,,,,,
168,168,BLR,Aarti Sponge and Power Limited,CARE A3,03-04-15,,,,,,,,,,,,,,,,,,,,
169,169,BLR,Aarti Sponge and Power Limited,CARE A3,26-07-12,,,,,,,,,,,,,,,,,,,,
170,170,BLR,Aarti Suitings Private Limited,CARE A4,29-09-17,,,,,,,,,,,,,,,,,,,,
171,171,BLR,Aarti Suitings Private Limited,CARE BB; Stable,29-09-17,,,,,,,,,,,,,,,,,,,,
172,172,BLR,Aarti Suitings Private Limited,CARE BB; Stable,29-09-17,,,,,,,,,,,,,,,,,,,,
173,173,BLR,Aaryaman Recreation Club Limited,CARE B+; Stable,13-02-18,,,,,,,,,,,,,,,,,,,,
174,174,BLR,Aashirwad Industries Private Limited,CARE B+,07-04-16,CARE B; Stable,10-03-17,CARE B; INC,03-01-18,CARE D: INC,01-03-18,,,,,,,,,,,,,,
175,175,LT Instruments,Aashman Energy Private Limited,CARE AA- (SO); Stable,22-09-17,,,,,,,,,,,,,,,,,,,,
176,176,BLR,Aastha Cold Storage,CARE D,30-03-16,CARE D; INC,03-05-17,,,,,,,,,,,,,,,,,,
177,177,BLR,Aastha Fashions Private Limited,CARE BB-; Stable,10-02-17,,,,,,,,,,,,,,,,,,,,
178,178,BLR,Aastha Fashions Private Limited,CARE BB-; Stable,10-02-17,,,,,,,,,,,,,,,,,,,,
179,179,BLR,Aastha Hi Tech Storage LLP,CARE D,24-04-17,,,,,,,,,,,,,,,,,,,,
180,180,BLR,Aastha Society,CARE BB-,31-03-16,CARE BB-; Stable,29-03-17,,,,,,,,,,,,,,,,,,
181,181,BLR,Aastha Society,CARE BB-,31-03-16,CARE BB-; Stable,29-03-17,,,,,,,,,,,,,,,,,,
182,182,BLR,Aathava Garments India Private Limited,CARE BBB-,07-04-16,CARE BBB-; Stable,27-02-17,,,,,,,,,,,,,,,,,,
183,183,BLR,Aatulya Lifecare Private Limited,CARE B; Stable,07-11-17,CARE D,19-01-18,,,,,,,,,,,,,,,,,,
184,184,BLR,Aavantika Gas Limited,CARE A+; Stable,09-10-17,,,,,,,,,,,,,,,,,,,,
185,185,BLR,Aavantika Gas Limited,CARE A+; Stable,09-10-17,,,,,,,,,,,,,,,,,,,,
186,186,BLR,Aavantika Gas Limited,CARE A1+,09-10-17,,,,,,,,,,,,,,,,,,,,
187,187,ST Instruments,Aavas Financiers Limited,CARE A1+,14-03-17,,,,,,,,,,,,,,,,,,,,
188,188,BLR,Aavas Financiers Limited,CARE A+; Stable,14-03-17,CARE A+; Positive,22-03-18,,,,,,,,,,,,,,,,,,
189,189,LT Instruments,Aavas Financiers Limited,CARE A+; Stable,29-08-17,CARE A+; Positive,22-03-18,,,,,,,,,,,,,,,,,,
190,190,LT Instruments,Aavas Financiers Limited,CARE A+; Stable,11-12-17,CARE A+; Positive,22-03-18,,,,,,,,,,,,,,,,,,
191,191,BLR,Aban Offshore Limited,CARE A+,15-02-08,CARE A,20-05-08,CARE BBB+,27-04-09,CARE BBB,29-12-09,CARE BB,24-02-10,CARE C,31-01-12,CARE D,28-08-12,CARE BB-,26-12-14,CARE D,13-04-16,,,,
192,192,BLR,Aban Offshore Limited,CARE A+,15-02-08,CARE A,20-05-08,CARE BBB+,27-04-09,CARE BBB,29-12-09,CARE BB,24-02-10,CARE C,31-01-12,CARE D,28-08-12,CARE BB-,26-12-14,CARE D,13-04-16,,,,
193,193,LT Instruments,Aban Offshore Limited,CARE A-,19-03-08,CARE BBB,27-04-09,CARE BBB-,29-12-09,CARE BB,24-02-10,CARE C,31-01-12,CARE C (RPS),26-12-14,CARE D (RPS),13-04-16,,,,,,,,
194,194,LT Instruments,Aban Offshore Limited,CARE A,24-03-05,CARE A-,20-05-08,CARE BBB,27-04-09,CARE BBB-,29-12-09,CARE BB,24-02-10,CARE C,31-01-12,CARE D,28-08-12,CARE C,10-01-13,CARE C (RPS),26-12-14,CARE D (RPS),13-04-16,,
195,195,LT Instruments,Aban Offshore Limited,CARE A,08-11-06,CARE A-,20-05-08,CARE BBB,27-04-09,CARE BBB-,29-12-09,CARE BB,24-02-10,CARE C,31-01-12,CARE D,28-08-12,CARE C,10-01-13,CARE C (RPS),26-12-14,CARE D (RPS),13-04-16,,
