"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
128,ALUMIL BUILDMATE PRIVATE LIMITED,SMERA B/SMERA A4,20-Feb-18,-,-,-,-,-,-,-,-,-,-
129,ALUMILITE ARCHITECTURALS PRIVATE LIMITED,SMERA B/SMERA A4,11-Dec-17,-,-,-,-,-,-,-,-,-,-
130,AMAN EXPORTS,SMERA A4,24-Jan-14,SMERA B+/SMERA A4,01-Apr-15,SMERA BB-/SMERA A4+,24-Jun-16,-,-,-,-,-,-
131,AMAR BIO TECH LIMITED,SMERA B,01-Feb-17,-,-,-,-,-,-,-,-,-,-
132,AMAR MEDICAL STORE,SMERA B+,22-Jul-14,Suspended,14-Oct-15,-,-,-,-,-,-,-,-
133,"AMAR ROLLER FLOUR MILLS (A UNIT OF AMAR ALLOYS PRIVATELIMITED)",SMERA B,05-Sep-14,Suspended,11-Dec-15,-,-,-,-,-,-,-,-
134,AMARDEEP ISPAT PRIVATE LIMITED,SMERA B+,01-Jul-15,Withdrawn,13-Sep-16,-,-,-,-,-,-,-,-
135,AMBALA COACH BUILDERS,SMERA BB-/SMERA A4+,03-Nov-17,-,-,-,-,-,-,-,-,-,-
136,AMBANI ORGANICS PRIVATE LIMITED,SMERA B+/SMERA A4,29-May-17,-,-,-,-,-,-,-,-,-,-
137,AMBE AGRO FOODS LIMITED,SMERA BB-,25-Nov-13,Suspended,30-Apr-16,-,-,-,-,-,-,-,-
138,AMBICA CHEMICALS,SMERA B+,02-May-17,-,-,-,-,-,-,-,-,-,-
139,AMBICA GOLD,SMERA B-,09-May-14,Suspended,10-Aug-15,-,-,-,-,-,-,-,-
140,AMBICA IRON & STEEL PRIVATE LIMITED,SMERA B+,06-Apr-16,Indicative,23-Sep-17,-,-,-,-,-,-,-,-
141,AMBICA SPINTEX PRIVATE LIMITED,SMERA D,30-May-17,SMERA B-/SMERA A4,22-Sep-17,-,-,-,-,-,-,-,-
142,AMBIKA OVERSEAS,SMERA BB-/SMERA A4+,14-Dec-16,Indicative,20-Feb-18,SMERA BB-/SMERA A4+,28-Mar-18,-,-,-,-,-,-
143,AMBIKA TIMBER DEPOT,SMERA B/SMERA A4,05-Jun-14,Indicative,14-Mar-18,-,-,-,-,-,-,-,-
144,AMBIKA WOODS PRIVATE LIMITED,SMERA D,11-Dec-13,Suspended,16-Feb-15,-,-,-,-,-,-,-,-
145,AMBIT SWITCHGEAR PRIVATE LIMITED,SMERA BB+/SMERA A4+,04-Apr-16,Indicative,20-Jul-17,-,-,-,-,-,-,-,-
146,AMBO EXPORTS INDUSTRIES LIMITED,SMERA B-/SMERA A4,05-Feb-16,SMERA D,24-Mar-17,-,-,-,-,-,-,-,-
147,AMIDEEP AUTOMOBILES,SMERA BB-,24-Apr-17,-,-,-,-,-,-,-,-,-,-
148,AMIR CHAND JAGDISH KUMAR (EXPORTS) LIMITED,SMERA BBB/SMERA A3+,12-Jul-16,Indicative,27-Sep-17,-,-,-,-,-,-,-,-
149,AMIT IRON PRIVATE LIMITED,SMERA BB-,28-Dec-17,-,-,-,-,-,-,-,-,-,-
150,AMIT N SHAH,SMERA BB/SMERA A4+,24-Feb-18,-,-,-,-,-,-,-,-,-,-
