Sl. No.,Name of the Issuer,Initial Rating,"Date of InitialRating",Rating after 1st revision,Date of 1st revision,"Rating after2nd revision","Date of 2ndrevision","Rating after3rd revision","Date of 3rdrevision","Rating after4th revision","Date of 4threvision","Rating after5th revision","Date of 5threvision","Rating after6th revision","Date of 6threvision","Rating after7th revision","Date of 7threvision","Rating after8th revision",Date of 8th revision,"Rating after9th revision","Date of 9threvision","Rating after10th revision","Date of 10threvision","Rating after11th revision","Date of 11threvision","Rating after12th revision","Date of 12threvision","Rating after13th revision","Date of 13threvision","Rating after14th revision",Date of 14th revision,"Rating after15th revision","Date of 15threvision","Rating after16th revision","Date of 16threvision","Rating after17th revision","Date of 17threvision","Rating after18th revision",Date of 18th revision,"Rating after19th revision","Date of 19threvision","Rating after20th revision","Date of 20threvision","Rating after21st revision",Date of 21st revision,"Rating after22nd revision","Date of 22ndrevision","Ratings Outstandingas on 31-March-2018","Rating Date Outstanding ason 31-March-2018"
122,Accurate Polymers Pvt. Ltd.,BWR A3,24-May-13,BWR A3,31-Dec-14,BWR A3,18-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A3,18-Jan-16
123,Accutech Agro Pvt Ltd,BWR B,08-Jun-16,BWR B -,07-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B -,07-Sep-17
124,Accutech Enterprises,BWR BB -,21-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB -,21-Feb-18
125,Accutech Enterprises,BWR A4,21-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,21-Feb-18
126,ACE Enterprises,BWR B+,18-Jul-14,NOT REVIEWED,04-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,04-Jan-17
127,ACE Enterprises,BWR A4,18-Jul-14,NOT REVIEWED,04-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,04-Jan-17
128,Ace Hardware Pvt. Ltd.,BWR A3,10-Nov-15,BWR A3+,23-Jan-17,BWR A3 +,29-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A3 +,29-Mar-18
129,Acebright (India) Pharma Private Limited.,BWR BB-,08-Jan-14,BWR BB-,09-Jun-15,NOT REVIEWED,29-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,29-Dec-16
130,Acebright (India) Pharma Private Limited.,BWR A4,08-Jan-14,BWR A4,09-Jun-15,NOT REVIEWED,29-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,29-Dec-16
131,Achieve Impex,BWR BB,15-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB,15-Jun-17
132,Achieve Impex,BWR A4 +,15-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4 +,15-Jun-17
133,A-Class Marbles (India) Pvt. Ltd.,BWR B+,15-Sep-15,BWR BB-,11-Jan-17,BWR BB,06-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB,06-Mar-18
134,A-Class Marbles (India) Pvt. Ltd.,BWR A4,15-Sep-15,BWR A4,11-Jan-17,BWR A4,06-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,06-Mar-18
135,ACME Auto Tech Pvt. Ltd.,BWR B+,04-Mar-16,NOT REVIEWED,01-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,01-Jun-17
136,ACME Cleantech Solutions Pvt. Ltd.,BWR BBB+,27-Jul-16,BWR BBB +,31-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BBB +,31-Aug-17
137,ACME Solar Energy (MP) Pvt Ltd,BWR A (SO),22-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A (SO),22-Feb-17
138,ACME Solar Energy (MP) Pvt Ltd,BWR A2+,22-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A2+,22-Feb-17
139,ACME Solar Technologies (Gujarat) Pvt. Ltd.,BWR BB+,09-Jan-13,BWR BBB-,03-Jan-14,NOT REVIEWED,04-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,04-Jan-17
140,Acme Yarns Pvt. Ltd.,BWR B,26-May-14,NOT REVIEWED,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,31-Mar-17
141,Acme Yarns Pvt. Ltd.,BWR A4,26-May-14,NOT REVIEWED,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,31-Mar-17
142,ACN Infotech (India) Pvt. Ltd.,BWR A4+,20-Oct-14,BWR A3,16-Mar-16,BWR A3,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A3,31-Mar-17
143,ACP Industries Ltd.,BWR B,14-Jul-15,NOT REVIEWED,31-Dec-16,BWR B -,27-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B -,27-Mar-18
144,Acron Plast Private Limited.,BWR B,14-Jun-13,NOT REVIEWED,01-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,01-Jun-17
145,Action Batteries Pvt. Ltd,BWR BB-,25-Jul-16,BWR BB -,04-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB -,04-Dec-17
146,Action Batteries Pvt. Ltd,BWR A4,25-Jul-16,BWR A4,04-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,04-Dec-17
147,Action Bridgegap Constructions Pvt. Ltd.,BWR BB+,17-Mar-14,BWR BB-,11-Jun-15,NOT REVIEWED,04-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,04-Jan-17
148,Activcarb,BWR B+,16-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B+,16-Jan-17
149,Activcarb,BWR A4,16-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,16-Jan-17
150,AD Textiles,BWR A4,26-Feb-13,BWR A4,22-Dec-14,BWR A4,18-May-16,BWR A4,20-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,20-Dec-17
151,AD Trading Co.,BWR B,05-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B,05-Dec-17
152,AD Trading Co.,BWR A4,05-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,05-Dec-17
153,Adani Developers Pvt. Ltd,BWR A- (SO),11-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A- (SO),11-Apr-17
154,Adani Enterprises Ltd.,BWR A1+,27-Mar-15,BWR A1+,26-Apr-16,BWR A1+,05-May-17,BWR A1+,06-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A1+,06-Jun-17
155,Adani Enterprises Ltd.,BWR A1+,31-Mar-15,BWR A1+,26-Apr-16,BWR A1+,05-May-17,BWR A1+,06-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A1+,06-Jun-17
156,Adani Enterprises Ltd.,BWR A1+,22-May-15,BWR A1+,26-Apr-16,BWR A1+,05-May-17,BWR A1+,06-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A1+,06-Jun-17
157,Adani Enterprises Ltd.,BWR A1+,14-Jul-15,BWR A1+,26-Apr-16,BWR A1+,05-May-17,BWR A1+,06-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A1+,06-Jun-17
158,Adani Enterprises Ltd.,BWR A1+,04-Sep-15,BWR A1+,26-Apr-16,BWR A1+,05-May-17,BWR A1+,06-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A1+,06-Jun-17
159,Adani Enterprises Ltd.,BWR A1+,06-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A1+,06-Jun-17
160,Adani Green Energy (Tamil Nadu) Ltd.,BWR AA (SO),26-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA (SO),26-Jul-17
161,Adani Infra (India) Ltd.,BWR AA - (SO),10-Jul-17,BWR AA - (SO),18-Sep-17,BWR AA - (SO),03-Oct-17,BWR AA - (SO),18-Jan-18,BWR AA - (SO),25-Jan-18,BWR AA - (SO),09-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),09-Feb-18
162,Adani Infra (India) Ltd.,BWR AA - (SO),18-Sep-17,BWR AA - (SO),03-Oct-17,BWR AA - (SO),18-Jan-18,BWR AA - (SO),25-Jan-18,BWR AA - (SO),09-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),09-Feb-18
163,Adani Infra (India) Ltd.,BWR AA - (SO),18-Sep-17,BWR AA - (SO),03-Oct-17,BWR AA - (SO),18-Jan-18,BWR AA - (SO),25-Jan-18,BWR AA - (SO),09-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),09-Feb-18
164,Adani Infra (India) Ltd.,BWR AA - (SO),03-Oct-17,BWR AA - (SO),18-Jan-18,BWR AA - (SO),25-Jan-18,BWR AA - (SO),09-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),09-Feb-18
165,Adani Infra (India) Ltd.,BWR AA - (SO),18-Jan-18,BWR AA - (SO),25-Jan-18,BWR AA - (SO),09-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),09-Feb-18
166,Adani Infra (India) Ltd.,BWR AA - (SO),25-Jan-18,BWR AA - (SO),09-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),09-Feb-18
167,Adani Infra (India) Ltd.,BWR AA - (SO),09-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),09-Feb-18
168,Adani Infrastructure and Developers Pvt. Ltd,BWR BBB+ (SO),11-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BBB+ (SO),11-Apr-17
169,Adani Power (MUNDRA) Ltd,BWR AA - (SO),11-Dec-17,BWR AA - (SO),05-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),05-Feb-18
170,Adani Power (MUNDRA) Ltd,BWR AA - (SO),05-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),05-Feb-18
171,Adani Power (MUNDRA) Ltd,BWR AA - (SO),05-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),05-Feb-18
172,Adani Power (MUNDRA) Ltd,BWR AA - (SO),05-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),05-Feb-18
173,Adani Power (MUNDRA) Ltd,BWR AA - (SO),05-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),05-Feb-18
174,Adani Power (MUNDRA) Ltd,BWR AA - (SO),05-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),05-Feb-18
175,Adani Power (MUNDRA) Ltd,BWR AA - (SO),05-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),05-Feb-18
176,Adani Power Ltd.,BWR AA- (SO),26-Aug-16,BWR AA- (SO),07-Oct-16,BWR AA- (SO),08-Dec-16,BWR AA- (SO),06-Jan-17,BWR AA- (SO),17-Feb-17,BWR AA - (SO),23-Jun-17,BWR AA - (SO),25-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),25-Oct-17
177,Adani Power Ltd.,BWR AA- (SO),26-Aug-16,BWR AA- (SO),07-Oct-16,BWR AA- (SO),08-Dec-16,BWR AA- (SO),06-Jan-17,BWR AA- (SO),17-Feb-17,BWR AA - (SO),23-Jun-17,BWR AA - (SO),25-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),25-Oct-17
178,Adani Power Ltd.,BWR BBB(SO),07-Oct-16,BWR BBB (SO),08-Dec-16,BWR BBB (SO),06-Jan-17,BWR BBB (SO),17-Feb-17,BWR BBB (SO),13-Jun-17,BWR BB (SO),23-Jun-17,BWR BB,25-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB,25-Oct-17
179,Adani Power Ltd.,BWR AA- (SO),18-Jan-17,BWR AA- (SO),17-Feb-17,BWR AA - (SO),25-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),25-Oct-17
180,Adani Power Ltd.,BWR AA- (SO),25-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA- (SO),25-Oct-17
181,Adani Power Ltd.,BWR AA- (SO),20-Oct-15,BWR AA- (SO),22-Apr-16,BWR AA- (SO),05-May-16,BWR AA- (SO),26-Aug-16,BWR AA- (SO),07-Oct-16,BWR AA- (SO),08-Dec-16,BWR AA- (SO),06-Jan-17,BWR AA- (SO),17-Feb-17,BWR AA- (SO),23-Jun-17,BWR AA - (SO),25-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),25-Oct-17
182,Adani Power Ltd.,BWR AA- (SO),05-May-16,BWR AA- (SO),26-Aug-16,BWR AA- (SO),07-Oct-16,BWR AA- (SO),08-Dec-16,BWR AA- (SO),06-Jan-17,BWR AA- (SO),17-Feb-17,BWR AA- (SO),23-Jun-17,BWR AA - (SO),25-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),25-Oct-17
183,Adani Power Maharashtra Ltd.,BWR A/A2+,22-Jun-15,BWR A/BWR A2+,12-Aug-16,BWR A / BWR A2 +,03-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A / BWR A2 +,03-Jan-18
184,Adani Power Maharashtra Ltd.,BWR A,22-Jun-15,BWR A,12-Aug-16,BWR A,03-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A,03-Jan-18
185,Adani Properties Pvt. Ltd.,BWR A1+ (SO),05-Apr-17,BWR A1 + (SO),15-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A1 + (SO),15-Jan-18
186,Adani Properties Pvt. Ltd.,BWR AA- (SO),05-Apr-17,BWR AA - (SO),28-Jun-17,BWR AA - (SO),15-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),15-Jan-18
187,Adani Properties Pvt. Ltd.,BWR A - / BWR A1,15-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A - / BWR A1,15-Jan-18
188,Adani Township & Real Estate Co Pvt. Ltd,BWR A- (SO),04-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A- (SO),04-Nov-16
189,Adani Transmission (Rajasthan) Ltd,BWR A-,05-May-17,BWR A -,28-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A -,28-Jun-17
190,Adani Transmission (Rajasthan) Ltd,BWR AA - (SO),28-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA - (SO),28-Jun-17
191,Adani Transmission Ltd,BWR A1 +,08-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A1 +,08-Aug-17
192,Adani Transmission Ltd,BWR AA +,08-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AA +,08-Aug-17
193,Adarsh Advisory Services Pvt. Ltd,BWR A (SO),27-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A (SO),27-Nov-17
194,Adarsh Global Trades & Services Pvt Ltd,BWR BB,14-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB,14-Nov-16
195,Adarsh Global Trades & Services Pvt Ltd,BWR A4,14-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,14-Nov-16
196,Adarsh Heights Pvt Ltd.,BWR BB-,25-Feb-14,BWR BB-,17-Jun-15,NOT REVIEWED,27-Dec-16,BWR B +,01-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B +,01-Dec-17
197,Adarsha Global Build Projects Pvt Ltd.,BWR B,27-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B,27-Nov-17
198,Adarsha Global Build Projects Pvt Ltd.,BWR A4,27-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,27-Nov-17
199,Adel Shipping & Logistics Ltd.,BWR BBB+,01-Apr-13,BWR BBB-,10-Sep-14,BWR BBB -,25-Sep-17,NOT REVIEWED,22-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,22-Jun-17
200,"Adesh Foundation, Muktsar",BWR BB+,19-Apr-13,BWR BBB-,17-Jul-14,BWR BBB,16-Dec-15,BWR BBB,26-Aug-16,BWR BBB,24-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BBB,24-Oct-17
201,Adesh Welfare Society.,BWR BBB,19-Jun-13,BWR BBB,25-Aug-14,BWR BBB,25-Aug-15,BWR BBB,01-Jul-16,BWR BBB,21-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BBB,21-Sep-17
202,Adhunik Alloys & Power Ltd,BWR BB-,28-Mar-16,BWR D,28-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR D,28-Jun-17
203,Adhunik Alloys & Power Ltd,BWR A4,28-Mar-16,BWR D,28-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR D,28-Jun-17
204,Adhunik Industries Ltd.,BWR BBB-,19-Nov-13,BWR BBB-,24-Dec-14,BWR BB+,02-Feb-15,BWR BBB-,07-Apr-15,BWR BBB-,13-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BBB-,13-Jul-16
205,Adhunik Industries Ltd.,BWR A3,19-Nov-13,BWR A3,24-Dec-14,BWR A4+,02-Feb-15,BWR A3,07-Apr-15,BWR A3,13-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A3,13-Jul-16
206,Adhunik Metaliks Ltd,BWR BBB-,05-Jul-13,"BWR BBB-, Ratings under",25-Jul-14,BWR BB,02-Feb-15,BWR BB-,08-Dec-15,NOT REVIEWED,28-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,28-Mar-17
207,Adhunik Metaliks Ltd,BWR A3,05-Jul-13,BWR A3 Ratings under wa,25-Jul-14,BWR A4,02-Feb-15,BWR A4,08-Dec-15,NOT REVIEWED,28-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,28-Mar-17
208,Adhunik Power and Natural Resources Limited,BWR BBB+,01-Apr-13,BWR BBB+,07-Apr-14,BWR BB+,09-Feb-15,BWR BB-,09-Dec-15,NOT REVIEWED,28-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,28-Mar-17
209,Adhunik Power and Natural Resources Limited,BWR A3+,01-Apr-13,BWR A3+,07-Apr-14,BWR A4+,09-Feb-15,BWR A4,09-Dec-15,NOT REVIEWED,28-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,28-Mar-17
210,Adie Broswon Breweries Pvt Ltd,BWR BB-,14-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB-,14-Feb-17
211,Adie Broswon Breweries Pvt Ltd,BWR A4,14-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,14-Feb-17
212,Aditi Chains Pvt.Ltd,BWR B+,20-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B+,20-Mar-17
213,Aditi Creation,BWR BB-,28-Aug-15,NOT REVIEWED,17-Jan-17,BWR BB,06-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB,06-Apr-17
214,Aditi Solar Pvt. Ltd.,BWR BB-,26-Oct-15,BWR BB,23-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB,23-Mar-17
215,Aditi Solar Pvt. Ltd.,BWR A4,26-Oct-15,BWR A4,23-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,23-Mar-17
216,Aditya Academy,BWR BBB,06-Jun-13,BWR BB+,05-Mar-15,BWR BBB-,07-Mar-16,BWR BB+,06-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB+,06-Jun-17
217,Aditya Agro Godowns & Packaging,BWR BB -,09-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB -,09-Oct-17
218,Aditya Agro Godowns & Packaging,BWR A4,09-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,09-Oct-17
219,Aditya Auto Engineering,BWR BB,29-Dec-16,BWR BB,06-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB,06-Mar-18
220,Aditya Auto Engineering,BWR A4,29-Dec-16,BWR A4,06-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,06-Mar-18
221,Aditya Birla Sun life – Dynamic Bond Fund,BWR AAAmfs,14-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AAAmfs,14-Feb-18
222,Aditya Birla Sunlife – Capital Protection Oriented Fund (erstw,BWR AAAmfs(SO),20-Jul-15,BWR AAA MFS (SO),03-Nov-16,BWR AAAmfs (SO),25-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AAAmfs (SO),25-Jan-18
223,Aditya Birla Sunlife – Capital Protection Oriented Fund (erstw,BWR AAAmfs(SO),20-Jul-15,BWR AAA MFS (SO),03-Nov-16,BWR AAAmfs (SO),25-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AAAmfs (SO),25-Jan-18
224,Aditya Birla Sunlife – Capital Protection Oriented Fund (erstw,BWR AAAmfs(SO),20-Jul-15,BWR AAA MFS (SO),03-Nov-16,BWR AAAmfs (SO),25-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR AAAmfs (SO),25-Jan-18
225,Aditya Coke Pvt. Ltd.,BWR B,23-Mar-15,BWR D,08-Feb-16,BWR D,30-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR D,30-Oct-17
226,Aditya Coke Pvt. Ltd.,BWR A4,23-Mar-15,BWR D,08-Feb-16,BWR D,30-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR D,30-Oct-17
227,Aditya Construction,BWR BB+,27-Sep-13,BWR BB+,13-Mar-15,BWR BBB- (SO),21-Jan-16,NOT REVIEWED,11-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,11-May-17
228,Aditya Construction Company Private Limited,BWR BBB-,02-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BBB-,02-Mar-17
229,Aditya Exim Ltd,BWR D,19-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR D,19-Oct-16
230,Aditya Exim Ltd,BWR D,19-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR D,19-Oct-16
231,Aditya Grain Industries,BWR B,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B,31-Mar-17
232,Aditya Hi-Tech Cold Storage,BWR B +,17-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B +,17-Nov-17
233,Aditya Infotech Ltd.,BWR A1,29-Aug-16,BWR A1,27-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A1,27-Feb-18
234,Aditya Infotech Ltd.,BWR A-,29-Aug-16,BWR A -,27-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A -,27-Feb-18
235,Aditya MotoCorp Pvt. Ltd,BWR B +,20-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B +,20-Sep-17
236,Aditya Nonwoven Fabrics Pvt Ltd,BWR B,10-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B,10-Nov-17
237,Aditya Nonwoven Fabrics Pvt Ltd,BWR A4,10-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,10-Nov-17
238,Aditya Precitech Private Limited,BWR B+,20-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B+,20-Feb-17
