Count,Sl.No.,Name of the Issuer,Initial Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
2730,2730,SHREE HARI OM FOODS,SMERA BB-,17-Feb-17,,,,,,,,,,
2731,2731,SHREE HARIKRUSHNA COTTON INDUSTRIES,SMERA B+,07-Jun-17,,,,,,,,,,
2732,2732,SHREE JAGDAMBA COTTON GINNING & PRESSING FACTORY,SMERA D,08-Aug-14,Suspended,23-Sep-15,,,,,,,,
2733,2733,SHREE JEE JEE GRAIN PRODUCTS PRIVATE LIMITED,SMERA B+,17-Aug-17,,,,,,,,,,
2734,2734,SHREE KRISHNA EDUCATIONAL & CHARITABLE SOCIETY,SMERA D,12-Aug-15,Suspended,30-Nov-16,,,,,,,,
2735,2735,SHREE KRISHNA RICE MILLS,SMERA B+/SMERA A4,19-May-17,,,,,,,,,,
2736,2736,SHREE LAKSHMI NARASIMHA AGRO FOODS,SMERA B+,22-Jul-17,,,,,,,,,,
2737,2737,SHREE MAHAVIR OIL & GENERAL MILLS,SMERA B-,11-Apr-16,Indicative,19-Jul-17,,,,,,,,
2738,2738,SHREE MAHAVIR ROLL TECH LIMITED,SMERA D,17-Feb-16,,,,,,,,,,
2739,2739,SHREE METALLOYS LIMITED,SMERA B+,05-Apr-16,Indicative,12-Sep-17,,,,,,,,
2740,2740,SHREE MOMAI ENGINEERING WORKS,SMERA BB-,12-Mar-15,Suspended,19-May-16,,,,,,,,
2741,2741,SHREE MUKT JEWELLERS BARODA PRIVATE LIMITED,SMERA BB+/SMERA A4+,09-May-14,SMERA BBB-/SMERA A3,30-Jul-15,SMERA D,03-Aug-16,Indicative,31-Oct-17,,,,
2742,2742,SHREE NAKODA GINNING AND PRESSING FACTORY,SMERA BB-,24-Mar-17,,,,,,,,,,
2743,2743,SHREE NAKODA INFRASTEEL PRIVATE LIMITED,SMERA BB/SMERA A4+,15-Mar-18,,,,,,,,,,
2744,2744,SHREE NARAYAN BUILTUP INDIA PRIVATE LIMITED,SMERA C/SMERA A4,01-Jul-15,SMERA D,23-May-16,Indicative,31-Aug-17,,,,,,
2745,2745,SHREE NATHJI INDUSTRIES,SMERA B+,28-Jan-16,Indicative,16-May-17,,,,,,,,
2746,2746,SHREE PADMANABH ISPAT PRIVATE LIMITED,SMERA B+,12-Jan-18,,,,,,,,,,
2747,2747,SHREE PADMAVATI ENGINEERS (INDIA) PRIVATE LIMITED,SMERA BB-/SMERA A4,09-Feb-18,,,,,,,,,,
2748,2748,SHREE PLA PRIVATE LIMITED,SMERA C/SMERA A4,15-Oct-13,Suspended,08-Jan-15,,,,,,,,
2749,2749,SHREE R N METALS INDIA PRIVATE LIMITED,SMERA BB-/SMERA A4,21-Nov-16,Indicative,24-Jan-18,,,,,,,,
2750,2750,SHREE RADHE SHYAM OIL MILL,SMERA B+/SMERA A4,09-May-17,,,,,,,,,,
2751,2751,SHREE RAJENDRA AGRO INDUSTRIES,SMERA B+,05-Jan-18,,,,,,,,,,
2752,2752,SHREE RAJESHWARANAND PAPER MILLS LIMITED,SMERA BB+/SMERA A4+,30-Sep-13,Suspended,16-Mar-16,,,,,,,,
2753,2753,SHREE RAM AGRO INDUSTRIES,SMERA BB-,09-Mar-17,,,,,,,,,,
2754,2754,SHREE RAM ASHIANA PRIVATE LIMITED,SMERA B+,24-Nov-15,SMERA D,23-May-17,,,,,,,,
2755,2755,SHREE RAM GRANITES,SMERA B+/SMERA A4,27-Aug-14,Suspended,30-Nov-15,,,,,,,,
2756,2756,SHREE RAYON PRIVATE LIMITED,SMERA BBB-,28-Feb-18,,,,,,,,,,
2757,2757,SHREE RENGARAJ ISPAT INDUSTRIES PRIVATE LIMITED,SMERA BBB-/SMERA A3,15-Feb-18,,,,,,,,,,
2758,2758,SHREE SAI DEVELOPERS,SMERA B,25-Feb-15,Withdrawn,23-May-16,,,,,,,,
2759,2759,SHREE SAMTAINATH ENTERPRISES PRIVATE LIMITED,SMERA BB/SMERA A4+,22-May-17,,,,,,,,,,
2760,2760,SHREE SHAKAMBARI RICE MILL PRIVATE LIMITED,SMERA BB+,17-Jan-17,Indicative,14-Feb-18,SMERA BB+,16-Mar-18,,,,,,
2761,2761,SHREE SHAKTI ENTERPRISES PRIVATE LIMITED,SMERA B+/SMERA A4,30-Apr-14,Suspended,06-Aug-15,,,,,,,,
2762,2762,SHREE SHANTINATH STEEL,SMERA BB,20-Jun-17,,,,,,,,,,
2763,2763,SHREE SHOPPERS LIMITED,SMERA BB-/SMERA A4,21-Sep-15,Suspended,19-Dec-16,,,,,,,,
2764,2764,SHREE SIDHI VINAYAK ENTERPRISES,SMERA B,28-Aug-14,SMERA BB-,30-Nov-15,,,,,,,,
2765,2765,SHREE SUBHLAXMI FOODS LIMITED,SMERA B/SMERA A4,18-Jul-17,,,,,,,,,,
2766,2766,SHREE VAISHNAV ISPAT PRIVATE LIMITED,SMERA BB,12-Jul-16,Indicative,26-Oct-17,,,,,,,,
2767,2767,SHREE VENKATESHWARA INFRASTRUCTURE PRIVATE LIMITED,SMERA D,28-Feb-15,Suspended,16-May-16,,,,,,,,
2768,2768,SHREE VENKTESH WIRES AND STEELS PRIVATE LIMITED,SMERA BB,15-Sep-16,SMERA BB+,12-Dec-17,,,,,,,,
2769,2769,SHREE VINAYAK INFRATECH PRIVATE LIMITED,SMERA B+/SMERA A4,25-Nov-16,SMERA BB-/SMERA A4+,12-Jan-18,,,,,,,,
2770,2770,SHREE VISHAL JEWELLERS,SMERA D,02-May-16,,,,,,,,,,
2771,2771,SHREE WARANA SAHAKARI DUDH UTPADAK PRAKRIYA SANGH LI,SIMTEEDRA BBB+/SMERA A2,11-Jan-18,,,,,,,,,,
2772,2772,SHREEBHAV POLYKNITS PRIVATE LIMITED,SMERA BBB-/SMERA A3,11-Sep-15,SMERA D,05-Dec-16,SMERA BBB-/SMERA A3,06-Mar-17,,,,,,
2773,2773,SHREEBHAV POLYWEAVES PRIVATE LIMITED,SMERA BB/SMERA A4+,28-Apr-15,Indicative,12-Oct-17,SMERA BB/SMERA A4+,08-Dec-17,,,,,,
2774,2774,SHREEHARI ASSOCIATES PRIVATE LIMITED,SMERA B+/SMERA A4,02-Feb-18,,,,,,,,,,
2775,2775,SHREEJI BLOCKS PRIVATE LIMITED,SMERA B,13-Feb-16,SMERA D,13-Jun-17,SMERA B,02-Feb-18,,,,,,
2776,2776,SHREEJI CONSTRUCTION,SMERA BB-,16-Dec-16,,,,,,,,,,
2777,2777,SHREEJI GEMS LIMITED,SMERA BB-,26-Oct-16,Indicative,25-Jan-18,,,,,,,,
2778,2778,SHREEJI INFRASPACE PRIVATE LIMITED,SMERA BB/SMERA A4+,04-Sep-15,Suspended,26-Nov-16,,,,,,,,
2779,2779,SHREEJI INTERIORS,SMERA BB-/SMERA A4+,03-Mar-16,Indicative,16-May-17,SMERA B+/SMERA A4,16-Mar-18,,,,,,
2780,2780,SHREEJI TRADING COMPANY,SMERA B-,08-Oct-14,Suspended,23-Dec-15,,,,,,,,
2781,2781,SHREEKRISHNA COTTON COMPANY,SMERA B+/SMERA A4,29-Jan-18,,,,,,,,,,
2782,2782,SHREEM AUTOMOBILES PRIVATE LIMITED,SMERA B,11-Sep-17,,,,,,,,,,
2783,2783,SHREENATH BUILDERS,SMERA BB,26-Aug-16,Indicative,11-Jan-18,,,,,,,,
2784,2784,SHREENATHJI GEMS AND JEWELS PRIVATE LIMITED,SMERA BB,31-Jul-15,Indicative,23-Feb-17,,,,,,,,
2785,2785,SHREENATHJI JEWELLERS,SMERA BBB-,05-Dec-13,Suspended,20-Mar-15,,,,,,,,
2786,2786,SHREERAM AND SONS,SMERA A4+,23-May-17,,,,,,,,,,
2787,2787,SHREYANS PACKAGING,SMERA B+,11-Dec-15,,,,,,,,,,
2788,2788,SHREYANSHU IMPEX,SMERA A4,22-Mar-17,,,,,,,,,,
2789,2789,SHRI ARUNA CONSTRUCTIONS PRIVATE LIMITED,SMERA BB/SMERA A4+,10-Jan-18,,,,,,,,,,
2790,2790,SHRI ARUNACHALESWARAR TEX,SMERA B/SMERA A4,01-Apr-13,SMERA D,15-Jul-14,Suspended,20-Oct-15,,,,,,
2791,2791,SHRI BALAJI ELECTRICALS,SMERA B+,11-Aug-16,Indicative,11-Oct-17,,,,,,,,
2792,2792,SHRI GANESH ENTERPRISES,SMERA B+/SMERA A4,22-Oct-16,,,,,,,,,,
2793,2793,"SHRI GANESH TEXTILE AND INFRASTRUCTURE (INDIA) PRIVATELIMITED",SMERA BB,12-Aug-15,SMERA D,23-Nov-16,SMERA B+,03-Jul-17,,,,,,
2794,2794,SHRI HARI KRISHNA PAPERS PRIVATE LIMITED,SMERA BBB/SMERA A3+,19-Sep-17,,,,,,,,,,
2795,2795,SHRI KARPADHA AGRO FOODS,SMERA B+/SMERA A4,12-Oct-15,Indicative,09-Feb-17,,,,,,,,
2796,2796,SHRI KED INSULATION PRIVATE LIMITED,SMERA B+/SMERA A4,25-Sep-17,,,,,,,,,,
2797,2797,SHRI KRISHNA GINNING AND PRESSING,SMERA B+,04-Oct-16,,,,,,,,,,
2798,2798,SHRI KRISHNA OIL & GENERAL MILLS,SMERA B/SMERA A4,08-Aug-14,SMERA B,05-Jun-15,,,,,,,,
2799,2799,SHRI MAA SALES,SMERA BBB-/SMERA A3,15-Feb-18,,,,,,,,,,
2800,2800,SHRI MOOKAMBIGA SPINNING MILLS PRIVATE LIMITED,SMERA BB-,09-Feb-18,,,,,,,,,,
2801,2801,SHRI OM RICE MILLS,SMERA B,14-Mar-16,,,,,,,,,,
2802,2802,SHRI PALIWAL CATTLE FEED PRIVATE LIMITED,SMERA D,31-Mar-18,,,,,,,,,,
2803,2803,SHRI PARIYUR AMMAN KRAFT PAPERS PRIVATE LIMITED,SMERA B,28-Oct-15,SMERA B+,26-Feb-18,,,,,,,,
2804,2804,SHRI RADHA KRISHNA RICE MILLS,SMERA BB-,04-Nov-16,,,,,,,,,,
2805,2805,"SHRI RAGHUNATH RAI MEMORIAL EDUCATION & CHARITABLETRUST",SMERA D,29-May-15,Indicative,15-Jan-18,,,,,,,,
2806,2806,SHRI RAJ JEWELS,SMERA BB+,07-Oct-15,Indicative,15-Feb-18,,,,,,,,
2807,2807,SHRI RAM AGRO SCIENCES PRIVATE LIMITED,SMERA B+,26-Mar-14,Suspended,31-Jul-15,,,,,,,,
2808,2808,SHRI RAM MALL PRIVATE LIMITED,SMERA BBB,08-Feb-18,,,,,,,,,,
2809,2809,SHRI RAM MULTICOM PRIVATE LIMITED,SMERA BBB/SMERA A3+,22-Jan-18,,,,,,,,,,
2810,2810,SHRI RAM OZONE RETAIL PRIVATE LIMITED,SMERA BBB,08-Feb-18,,,,,,,,,,
2811,2811,SHRI RAM RESIDENCY PRIVATE LIMITED,SMERA BBB/SMERA A3+,08-Feb-18,,,,,,,,,,
2812,2812,SHRI RAM RICE UNIT,SMERA BB,21-Apr-17,,,,,,,,,,
2813,2813,SHRI RAM SARUP GARG COTTON MILLS,SMERA B,30-Apr-14,SMERA B+,21-Jul-15,Indicative,08-Feb-17,,,,,,
2814,2814,SHRI RAMANATH KRIPA INDUSTRIES,SMERA B,13-Feb-17,,,,,,,,,,
2815,2815,SHRI RATHI AGRO INDUSTRIES,SMERA B+/SMERA A4,19-Feb-15,Suspended,14-May-16,,,,,,,,
2816,2816,SHRI SARASWATI TRADING COMPANY,SMERA B,06-Jun-17,,,,,,,,,,
2817,2817,SHRI SATYA SAIBABA CONSTRUCTIONS,SMERA BBB-/SMERA A3,02-Mar-17,SMERA BBB+/SMERA A2,21-Mar-18,,,,,,,,
2818,2818,SHRI VASUDEVA WEAVING MILLS PRIVATE LIMITED,SMERA BB+/SMERA A4+,06-Dec-17,,,,,,,,,,
2819,2819,SHRI VEERGANAPATHI STEELS PRIVATE LIMITED,SMERA BB-/SMERA A4+,18-Nov-15,Indicative,01-Mar-17,,,,,,,,
2820,2820,SHRINATH COTFAB,SMERA B/SMERA A4,23-May-17,,,,,,,,,,
2821,2821,SHRINI SOFTEX INDIA LIMITED,SMERA C,08-Nov-13,Suspended,29-Sep-14,,,,,,,,
2822,2822,SHRIPAD CONCHEM PRIVATE LIMITED,SMERA BB-,15-Jul-15,Withdrawn,28-Nov-16,,,,,,,,
2823,2823,SHRIPATI INFRASTRUCTURES PRIVATE LIMITED,SMERA B/SMERA A4,22-Jun-16,Indicative,23-Sep-17,,,,,,,,
2824,2824,SHRIRAM CHITS TAMILNADU PRIVATE LIMITED,SMERA A2+,22-Jul-15,,,,,,,,,,
2825,2825,SHRISAI MEDICARE SERVICES PRIVATE LIMITED,SMERA B-,24-Sep-14,SMERA BB-,23-Dec-15,Withdrawn,18-Apr-17,,,,,,
2826,2826,SHRISTI COTSPIN PRIVATE LIMITED,SMERA BB/SMERA A4+,01-Feb-18,,,,,,,,,,
2827,2827,SHRIVIDYA EDUCATION FOUNDATION,SMERA B-,09-Apr-15,Suspended,30-Jun-16,,,,,,,,
2828,2828,SHS MERCHANTS PRIVATE LIMITED,SMERA BB-,04-Apr-14,SMERA BB,12-Jun-15,Withdrawn,12-Dec-17,,,,,,
2829,2829,SHUBH MANGAL TEXTILE INDUSTRIES (LLP),SMERA B+,17-Jul-15,Suspended,31-Aug-16,,,,,,,,
2830,2830,SHUBHAM STARCH CHEM PRIVATE LIMITED,SMERA B-/SMERA A4,27-May-13,SMERA D,14-Mar-14,Suspended,28-Oct-14,,,,,,
2831,2831,SHUBHRAM HOSPITAL SOLUTIONS PRIVATE LIMITED,SMERA AA (SO),11-Jan-18,,,,,,,,,,
2832,2832,SHUKRANA IMPEX PRIVATE LIMITED,SMERA A4,31-Jul-17,,,,,,,,,,
2833,2833,SHWETA PRINT-PACK PRIVATE LIMITED,SMERA BBB/SMERA A3+,17-Mar-18,,,,,,,,,,
2834,2834,SHYAM HATCHERIES,SMERA B,23-Feb-16,Indicative,23-Jun-17,,,,,,,,
2835,2835,SHYAM INDUSTRIES,SMERA B/SMERA A4,23-Mar-13,SMERA D,15-Apr-14,Indicative,28-Sep-17,,,,,,
2836,2836,SHYAM PLASTIC INDUSTRIES,SMERA B-/SMERA A4,23-Mar-13,SMERA D,15-Apr-14,Indicative,28-Oct-17,,,,,,
2837,2837,SIDANA SILK MILLS PRIVATE LIMITED,SMERA B+/SMERA A4,23-Feb-16,Indicative,27-May-17,,,,,,,,
2838,2838,SIDDARTH AGRO,SMERA B/SMERA A4,22-Jun-17,,,,,,,,,,
2839,2839,SIDDHARTH FIBRE,SMERA BB-,14-May-16,,,,,,,,,,
2840,2840,SIDDHARTH GLOBAL PRIVATE LIMITED,SMERA B+/SMERA A4,26-Oct-16,Indicative,30-Jan-18,SMERA B+/SMERA A4,19-Feb-18,,,,,,
2841,2841,SIDDHI INDUSTRIES LIMITED,SMERA B+/SMERA A4,30-Dec-16,SMERA BB/SMERA A4+,21-Mar-18,,,,,,,,
2842,2842,SIDDHIVINAYAK COTTEX,SMERA B,05-Oct-16,SMERA B+,12-Jan-18,,,,,,,,
2843,2843,SIDH MASTERBATCHES PRIVATE LIMITED,SMERA BB+,15-Dec-17,,,,,,,,,,
2844,2844,SIDHARTH POLYSACKS PRIVATE LIMITED,SMERA BB/SMERA A4+,27-Sep-16,Indicative,11-Jan-18,,,,,,,,
2845,2845,SIDHI SINGRAULI ROAD PROJECT LIMITED,SMERA BB-,03-Jun-15,,,,,,,,,,
2846,2846,SIDHIVINAYAK CHEMTECH PRIVATE LIMITED,SMERA B/SMERA A4,26-May-16,Indicative,27-Sep-17,,,,,,,,
2847,2847,SIDWAL REFRIGRATION INDUSTRIES PRIVATE LIMITED,SMERA BBB-/SMERA A3,20-May-16,Indicative,19-Sep-17,,,,,,,,
2848,2848,SIECHEM TECHNOLOGIES PRIVATE LIMITED,SMERA BBB-/SMERA A3,10-Jun-13,SMERA B+/SMERA A4,15-Apr-14,Suspended,31-Oct-14,SMERA BBB/SMERA A3+,13-May-16,Withdrawn,08-Feb-18,,
2849,2849,SIGMA C INFRASTRUCTURE PRIVATE LIMITED,SMERA B-/SMERA A4,01-Nov-16,SMERA C/SMERA A4,31-Jan-18,,,,,,,,
2850,2850,"SIGMA ELECTRIC MANUFACTURING CORPORATION PRIVATELIMITED",SMERA A+/SMERA A1+,31-Jan-14,SMERA AA-/SMERA A1+,14-May-16,,,,,,,,
2851,2851,SIGNET GARMENTS PRIVATE LIMITED,SMERA A4,07-Jun-16,,,,,,,,,,
2852,2852,SIGNORA TEXPORT PRIVATE LIMITED,SMERA C/SMERA A4,27-Mar-15,SMERA D,16-Jun-16,Indicative,26-Sep-17,,,,,,
2853,2853,SIIVAGANAPATHI SPINNERS PRIVATE LIMITED,SMERA D,08-Mar-13,Suspended,17-Jun-14,,,,,,,,
2854,2854,SILICON BUILDCON,SMERA B-,28-Apr-16,,,,,,,,,,
2855,2855,SILICON JEWEL INDUSTRIES PRIVATE LIMITED,SMERA B-/SMERA A4,28-Feb-18,,,,,,,,,,
2856,2856,SILVER FAB SUITING PRIVATE LIMITED,SMERA BB,14-Feb-18,,,,,,,,,,
2857,2857,SILVER GLOBAL SERVICES PRIVATE LIMITED,SMERA D,10-Apr-17,,,,,,,,,,
2858,2858,SILVER GROUP,SMERA D,31-Mar-17,,,,,,,,,,
2859,2859,SILVER JUBILEE MOTORS LIMITED,SMERA BB-/SMERA A4+,06-Apr-17,,,,,,,,,,
2860,2860,SILVER SANDS HOLIDAY VILLAGE,SMERA B+,01-Dec-16,,,,,,,,,,
2861,2861,SIM DIAM PRIVATE LIMITED,SMERA BB+,09-Jul-13,Suspended,20-Nov-14,,,,,,,,
2862,2862,SIMLA CHEMICALS PRIVATE LIMITED,SMERA BBB-,27-Mar-15,Suspended,16-Jun-16,,,,,,,,
2863,2863,SINDHIYA PLASTIC INDUSTRIES,SMERA B/SMERA A4,22-Aug-16,Indicative,30-Nov-17,,,,,,,,
2864,2864,SINEX SYSTEMS PRIVATE LIMITED,SMERA BB-/SMERA A4+,27-Apr-16,Indicative,19-Jul-17,SMERA BB/SMERA A4+,21-Mar-18,,,,,,
2865,2865,SINGAL UDYOG,SMERA B-/SMERA A4,20-May-14,Suspended,21-Aug-15,,,,,,,,
2866,2866,SINGH CYCLE AND MOTOR CO,SMERA B+/SMERA A4,13-Jul-15,Suspended,27-Aug-16,,,,,,,,
2867,2867,SINGHAL PIPES PRIVATE LIMITED,SMERA B,03-Apr-14,Suspended,11-Aug-15,,,,,,,,
2868,2868,SINGHVI FASHIONS PRIVATE LIMITED,SMERA D,29-Dec-16,Indicative,15-Feb-18,,,,,,,,
2869,2869,SINGLA MOTORS PRIVATE LIMITED,SMERA B+,08-Oct-15,Indicative,17-Jan-18,,,,,,,,
2870,2870,SINTECH PRECISION PRODUCTS LIMITED,SMERA C,22-Dec-15,SMERA B+/SMERA A4,21-Feb-18,,,,,,,,
2871,2871,SINTEX - BAPL LIMITED,SMERA AA,04-Aug-17,,,,,,,,,,
2872,2872,SINTEX - BAPL LIMITED,SMERA AA,04-Aug-17,,,,,,,,,,
2873,2873,SINTEX - BAPL LIMITED,SMERA AA/SMERA A1+,04-Aug-17,,,,,,,,,,
2874,2874,SINTEX INDUSTRIES LIMITED,SMERA AA+,26-Apr-16,"Under rating watch withdeveloping implications",17-Oct-16,Withdrawn,31-Oct-17,,,,,,
2875,2875,SINTEX INDUSTRIES LIMITED,SMERA AA+,19-Aug-16,"Under rating watch withdeveloping implications",17-Oct-16,Withdrawn,31-Oct-17,,,,,,
2876,2876,SINTEX PREFAB AND INFRA LIMITED (PREVIOUSLY - SINTEX INFRA,PSRMOEJREAC TASA L-IMITED),12-Aug-17,,,,,,,,,,
2877,2877,SINTEX PREFAB AND INFRA LIMITED (PREVIOUSLY - SINTEX INFRA,PSRMOEJREAC TASA L-I/MSMITERDA) A1+,12-Aug-17,,,,,,,,,,
2878,2878,SION STEELS,SMERA B+,24-Dec-14,Suspended,23-Feb-16,,,,,,,,
2879,2879,SIRI SMELTERS & ENERGY PRIVATE LIMITED,SMERA D,06-Oct-16,Indicative,30-Jan-18,,,,,,,,
2880,2880,SITARA CONDUCTORS AND CABLES PRIVATE LIMITED,SMERA B+/SMERA A4,27-Nov-17,,,,,,,,,,
2881,2881,SITARAM ENERGY AND LOGISTICS LIMITED,SMERA BB/SMERA A4+,05-Jul-17,,,,,,,,,,
2882,2882,SITARAM GEMS,SMERA BB/SMERA A4+,10-Nov-14,Suspended,09-Feb-16,,,,,,,,
2883,2883,SIVA FOODS IMPEX PRIVATE LIMITED,SMERA BB-/SMERA A4+,12-Mar-18,,,,,,,,,,
2884,2884,SIVA SAKTHI BABY GARMENTS PRIVATE LIMITED,SMERA B+,24-Feb-18,,,,,,,,,,
2885,2885,SIVASAKTHI ENGINEERING COMPANY,SMERA B+/SMERA A4,16-Mar-18,,,,,,,,,,
2886,2886,SIWAN TRACTORS PRIVATE LIMITED,SMERA BB+,17-Mar-15,,,,,,,,,,
2887,2887,SJ MEMORIAL EDUCATION SOCIETY,SMERA B+,21-Aug-14,Suspended,18-Nov-15,,,,,,,,
2888,2888,SJB AUTOMOBILES PRIVATE LIMITED,SMERA B+/SMERA A4,09-Jun-16,Indicative,26-Sep-17,,,,,,,,
2889,2889,SJLT SPINNING MILLS PRIVATE LIMITED,SMERA BBB-/SMERA A3,31-Oct-17,,,,,,,,,,
2890,2890,SJLT TEXTILES PRIVATE LIMITED,SMERA BBB-/SMERA A3,31-Oct-17,,,,,,,,,,
2891,2891,SKANDA CREATIONS,SMERA B+,04-Apr-16,SMERA B,16-Oct-17,,,,,,,,
2892,2892,SKP CORP PRIVATE LIMITED,SMERA BB-,31-Mar-17,,,,,,,,,,
2893,2893,SKP STEEL INDUSTRIES PRIVATE LIMITED,SMERA BBB-/SMERA A3,12-Mar-18,,,,,,,,,,
2894,2894,SKS ISPAT AND POWER LIMITED,SMERA C/SMERA A4,15-Apr-15,SMERA D,25-Jul-16,,,,,,,,
2895,2895,SKYHIGH INFRALAND PRIVATE LIMITED,SMERA D,30-Sep-15,Indicative,12-Mar-18,,,,,,,,
2896,2896,SKYLARK MANSIONS PRIVATE LIMITED,SMERA BB-,03-Dec-12,Withdrawn,28-Apr-15,,,,,,,,
2897,2897,SKYLARK SECURITAS PRIVATE LIMITED,SMERA BB/SMERA A4+,13-Jan-15,Suspended,19-Feb-16,,,,,,,,
2898,2898,SKYWAY INFRAPROJECTS PRIVATE LIMITED,SMERA BBB-/SMERA A3,07-Jul-14,SMERA BBB/SMERA A3+,13-Aug-16,Indicative,01-Nov-17,"SMERA BBB+/SMERAA2+",08-Feb-18,,,,
2899,2899,SKYWAY RMC PLANTS PRIVATE LIMITED,SMERA BBB+/SMERA A2,16-Feb-18,,,,,,,,,,
2900,2900,SLEDGE HAMMER OIL TOOLS PRIVATE LIMITED,SMERA A2,30-Sep-13,Suspended,08-Jan-15,,,,,,,,
2901,2901,SLN AGRO INDUSTRIES,SMERA BB,05-Jul-17,,,,,,,,,,
2902,2902,SLO INDUSTRIES LIMITED,SMERA BBB/SMERA A3+,24-Apr-15,Suspended,17-Aug-16,,,,,,,,
2903,2903,SLS POWER LIMITED,SMERA B-/SMERA A4,29-Aug-16,Indicative,12-Oct-17,,,,,,,,
2904,2904,SM CONSUMERS PRIVATE LIMITED,SMERA D,09-Apr-16,Indicative,09-Jun-17,,,,,,,,
2905,2905,SMART CHIP PRIVATE LIMITED,SMERA A2+,22-Mar-16,Withdrawn,11-Aug-17,,,,,,,,
2906,2906,SMART STAINLESS TUBES PRIVATE LIMITED,SMERA BB-/SMERA A4+,06-Jul-17,,,,,,,,,,
2907,2907,SMARTGEN INFRA PRIVATE LIMITED,SMERA BB-/SMERA A4+,09-Feb-17,,,,,,,,,,
2908,2908,SMPC INDUSTRIES INDIA PRIVATE LIMITED,SMERA B+,02-Mar-17,,,,,,,,,,
2909,2909,SNEHAL IMPEX PRIVATE LIMITED,SMERA B-,29-Mar-17,,,,,,,,,,
2910,2910,SNOWBIRD MARKETING PRIVATE LIMITED(FORMELY KNOWN AS,SRMEEEBRIAR DB BM-ARKETING PRIVATE LIMIT,2D2)-May-17,,,,,,,,,,
2911,2911,SNP INDUSTRIES,SMERA B-/SMERA A4,19-Oct-15,SMERA D,30-Dec-16,SMERA B-/SMERA A4,01-Jun-17,,,,,,
2912,2912,SOBHAGIA SALES PRIVATE LIMITED,SMERA BB+,31-Mar-16,SMERA BBB-,12-May-17,,,,,,,,
2913,2913,SOHAM ENTERPRISE,SMERA B,16-Apr-15,Suspended,28-Jun-16,,,,,,,,
2914,2914,SOHAMS FOUNDATION ENGINEERING PRIVATE LIMITED,SMERA D,03-Mar-15,Indicative,12-Sep-17,,,,,,,,
2915,2915,SOHAN INDUSTRIES,SMERA B+,11-Mar-16,Indicative,23-Jun-17,,,,,,,,
2916,2916,SOHAN LAL AGARWAL & SONS,SMERA B+,11-Mar-16,Indicative,11-Jul-17,,,,,,,,
2917,2917,SOHANLAL SONS,SMERA BB,13-Dec-17,,,,,,,,,,
2918,2918,SOHONI METAL CRAFT PRIVATE LIMITED,SMERA BB/SMERA A4+,22-Feb-16,Withdrawn,12-Jun-17,,,,,,,,
2919,2919,SOHRAB TEXTILES MILLS LIMITED,SMERA D,07-Nov-16,Indicative,16-Jan-18,,,,,,,,
2920,2920,SOKHI ISPAT PRIVATE LIMITED,SMERA B,06-Jun-16,Indicative,27-Sep-17,,,,,,,,
2921,2921,SOLAIMALAI ENTERPRISES,SMERA BB+,15-Feb-18,,,,,,,,,,
2922,2922,SOLAR IDEA PRIVATE LIMITED,SMERA BB-/SMERA A4+,29-Jan-18,,,,,,,,,,
2923,2923,SOLAROY ENGINEERS PRIVATE LIMITED,SMERA B-/SMERA A4,08-Mar-16,Indicative,06-Jul-17,,,,,,,,
2924,2924,SOLEX ENERGY PRIVATE LIMITED,SMERA B+/SMERA A4,10-Sep-15,Suspended,07-Dec-16,SMERA B+/SMERA A4,22-Mar-17,,,,,,
2925,2925,SOLUBLE SILICATES PRIVATE LIMITED,SMERA BB/SMERA A4+,02-May-16,,,,,,,,,,
2926,2926,SOLVENTS AND CHEMICALS,SMERA B-,03-Apr-13,SMERA B,16-Jul-14,Suspended,26-Oct-15,,,,,,
2927,2927,SOMOCHEM INDIA PRIVATE LIMITED,SMERA A4,17-Jul-17,,,,,,,,,,
2928,2928,SONACHI INDUSTRIES LIMITED,SMERA B+/SMERA A4,25-Jan-16,Indicative,16-May-17,,,,,,,,
2929,2929,SONALAC PAINTS AND COATINGS LIMITED,SMERA BBB-,28-Feb-18,,,,,,,,,,
2930,2930,SONARG PLASTICS PRIVATE LIMITED,SMERA BBB-,29-Mar-18,,,,,,,,,,
2931,2931,SONATA CERAMICA PRIVATE LIMITED,SMERA BB+/SMERA A4+,29-Dec-17,,,,,,,,,,
2932,2932,SONI INFRATECH PRIVATE LIMITED,SMERA B,08-Oct-13,Withdrawn,06-Nov-14,,,,,,,,
2933,2933,SONI ROLLERS PRIVATE LIMITED,SMERA BB-/SMERA A4+,02-Aug-17,,,,,,,,,,
2934,2934,SONODYNE INTERNATIONAL PRIVATE LIMITED,SMERA BB+/SMERA A4+,06-Aug-15,Indicative,12-Dec-17,,,,,,,,
2935,2935,SONODYNE TECHNOLOGIES PRIVATE LIMITED,SMERA BB+/SMERA A4+,01-Sep-16,Indicative,12-Dec-17,,,,,,,,
2936,2936,SOONGACHI TEA INDUSTRIES PRIVATE LIMITED,SMERA BB-/SMERA A4,28-May-16,,,,,,,,,,
2937,2937,SOORIYA HOSPITAL,SMERA BB,17-Feb-17,,,,,,,,,,
2938,2938,SORATH BUILDERS,SMERA B/SMERA A4,14-Mar-17,,,,,,,,,,
