Company Name,Industry,Instrument,Outlook,Rating
Abad Fisheries Private Limited,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL BBB-
Abaj Electronics Private Limited,Household Durables,Cash Credit Limit,Stable,CRISIL B-
Abdos Lamitubes Private Limited,Containers & Packaging,Long Term Bank Loan,Stable,CRISIL BBB+
Abdul Jaleel MM,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B
Abdul Rahiman Engineer AND Contractor - Udupi,Construction & Engineering,Secured Overdraft Facility,Stable,CRISIL B
Abeera Beverages Private Limited,Beverages,Proposed Term Loan,Stable,CRISIL B
Abha Agro Exports Private Limited,Distributors,Inventory Funding,Stable,CRISIL BB-
Abharan Jewellers Private Limited,Engineering & Capital Goods,Term Loan Facilities,Positive,CRISIL BBB
Abharan Motors Private Limited,Specialty Retail,Term Loan Facilities,Stable,CRISIL BB
Abhay Ispat India Private Limited,Distributors,Electronic Dealer Financing Scheme,Positive,CRISIL BBB-
Abhay Nutrition Private Limited,Food Products,Proposed Term Loan,Stable,CRISIL BBB
Abhi Diagnostic Imagings Private Limited,Health Care Providers & Services,Buyers Credit,Stable,CRISIL BB-
Abhigna Rice AND Parboiled Industries,Food Products,Cash Credit Limit,Stable,CRISIL B
Abhijit Auto Agency India Private Limited,Specialty Retail,Cash Credit Limit,Stable,CRISIL BB
Abhijit Tea Co Private Limited,Food Products,Term Loan Facilities,Stable,CRISIL BB+
Abhilasha Jewellers Private Limited,Engineering & Capital Goods,Cash Credit Limit,Negative,CRISIL BBB
Abhishek Solar Industries Private Limited,Electrical Equipment,Long Term Bank Loan,Stable,CRISIL B
Abhishek Solvent Extractions Private Limited,Food Products,Cash Credit Limit,Stable,CRISIL B+
Abhitech Energycon Limited,Chemicals,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Abhivyakti Welfare Society,Co-operative Society,Proposed Fund-Based Bank Limits,Stable,CRISIL B
Abhiyan Dealcomm Private Limited,Specialty Retail,Electronic Dealer Financing Scheme,Stable,CRISIL BB-
Abhushan Creation Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Abhyudaya Housing and Constructions Private Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB+
Abi and Abi Motors,Specialty Retail,Inventory Funding,Stable,CRISIL BB+
Abirami Pet Industries,Containers & Packaging,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Abirami Polymers,Containers & Packaging,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Absolute Projects India Limited,Machinery,Cash Credit Limit,Stable,CRISIL BB+
Academy of Maritime Education and Training,Diversified Consumer Services,Working Capital Demand Loan,Stable,CRISIL B
Accord Hospitality and Services,Hotels Restaurants & Leisure,Term Loan Facilities,Stable,CRISIL B-
Accrete Pharmaceuticals Private Limited,Pharmaceuticals,Long Term Bank Loan,Stable,CRISIL B-
Accurate Infra Industries Private Limited,Construction Materials,Term Loan Facilities,Stable,CRISIL B
Accurate Products Corporation Private Limited,Auto Components,Long Term Bank Loan,Stable,CRISIL BBB-
Accutime Logistics Private Limited,Road & Rail,Cash Credit Limit,Stable,CRISIL BB-
Ace Commercial Co Private Limited,Air Freight & Logistics,Proposed Long-Term Bank Facility,Stable,CRISIL B
Ace Kudale Car Private Limited,Specialty Retail,Inventory Funding,Stable,CRISIL B+
Ace Motors Private Limited,Specialty Retail,Proposed Long-Term Bank Facility,Negative,CRISIL BB+
Ace Multi Axes Systems Limited,Machinery,Proposed Long-Term Bank Facility,Stable,CRISIL BBB+
Acer Granito Private Limited,Building Products,Cash Credit Limit,Stable,CRISIL BBB+
Acme Builders Private Limited,Real Estate Development,Term Loan Facilities,Stable,CRISIL B+
Acme Commodities Private Limited,Food Products,Long Term Bank Loan,Stable,CRISIL BBB-
Acme Excellent Management Private Limited,Commercial Services & Supplies,Over Draft,Stable,CRISIL BB+
Acoustics India Private Limited,Machinery,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Action Construction Equipment Limited,Machinery,Letter of Credit and Bank Guarantees,Positive,CRISIL A
Actionware India Private Limited,Containers & Packaging,Cash Credit Limit,Stable,CRISIL BB+
Actis Generics Pvt Ltd,Pharmaceuticals,Term Loan Facilities,Stable,CRISIL B-
Active Tools Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL BB-
Aculife Healthcare Private Limited,Pharmaceuticals,Term Loan Facilities,Positive,CRISIL BBB
Acute Designs,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B+
Ad - Manum Finance Limited,Non Banking Financial Company,Cash Credit Limit,Stable,CRISIL BBB-
Adage Automation Private Limited,Electronic Equipment Instruments & Components,Cash Credit Limit,Stable,CRISIL BB+
Adam Fabriwerk Private Limited,Machinery,Term Loan Facilities,Positive,CRISIL BBB
Adam and Coal Resources Private Limited,Trading Companies & Distributors,Cash Credit Limit,Stable,CRISIL BBB
Adani Power Limited,Independent Power Producers & Energy Traders,Long Term Bank Loan,Stable,CRISIL BB-
Adapt Infra Private Limited,Construction Materials,Term Loan Facilities,Stable,CRISIL BB-
Adarsh Heights Private Limited,Real Estate Development,Long Term Bank Loan,Stable,CRISIL BB+
Adarsh Jan Kalyan Evam Shiksha Samiti,Co-operative Society,Proposed Fund-Based Bank Limits,Stable,CRISIL B
Adarsh Kanch Udyog Private Limited,Containers & Packaging,Rupee Term Loans,Stable,CRISIL BB
Adarsh Rice Mill,Food Products,Cash Credit Limit,Stable,CRISIL BB-
Adarsh Synthetics Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BB-
Adarsha Control Systems Pvt. Ltd.,Electrical Equipment,Open Cash Credit,Stable,CRISIL BB-
Adgums Private Limited,Chemicals,Term Loan Facilities,Stable,CRISIL BB
Adhik Resort India Private Limited,Hotels Restaurants & Leisure,Cash Credit Limit,Stable,CRISIL BB-
Adhunik Infrastructures Private Limited,Construction & Engineering,Proposed Fund-Based Bank Limits,Stable,CRISIL BBB
Adinath Foundations Private Limited,Real Estate Development,Long Term Bank Loan,Stable,CRISIL B+
Adinath Jewellery Exports,Engineering & Capital Goods,Post Shipment Credits,Negative,CRISIL A
Adinath Sortex,Food Products,Cash Credit Limit,Stable,CRISIL B+
Adiraj Manpower Services Private Limited,Commercial Services & Supplies,Cash Credit Limit,Stable,CRISIL BB+
Adit Buildwell Private Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB+
Adithya Global Health care Private Limited,Health Care Providers & Services,Proposed Long-Term Bank Facility,Stable,CRISIL B
Aditi Industries,Construction Materials,Term Loan Facilities,Stable,CRISIL B
Aditi Infrabuild and Services Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB-
Aditya Agro Industry,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B+
Aditya Auto Products and Engineering India Private Limited,Auto Components,Cash Credit Limit,Stable,CRISIL BBB+
Aditya Birla Fashion and Retail Limited,Multiline Retail,Working Capital Demand Loan,Stable,CRISIL AA
Aditya Birla Health Services Limited,Health Care Providers & Services,Cash Credit Limit,Stable,CRISIL BBB
Aditya Birla Retail Limited,Food & Staples Retailing,Long Term Bank Loan,Stable,CRISIL A-
Aditya Birla Solar Limited,Independent Power Producers & Energy Traders,Term Loan Facilities,Stable,CRISIL A-
Aditya Car Automotives Private Limited,Specialty Retail,Cash Credit Limit,Stable,CRISIL BB+
Aditya Car Care Private Limited,Specialty Retail,Inventory Funding,Stable,CRISIL BB-
Aditya Construction Company,Construction & Engineering,Over Draft,Stable,CRISIL BB
Aditya Dispomed Products Private Limited,Health Care Equipment & Supplies,Proposed Fund-Based Bank Limits,Stable,CRISIL BBB-
Aditya Engineers,Machinery,Cash Credit Limit,Stable,CRISIL B+
Aditya Extractions Private Limited,Food Products,Term Loan Facilities,Stable,CRISIL BB-
Aditya Motocorp Private Limited,Specialty Retail,Cash Credit Limit,Stable,CRISIL B
Aditya Sai Cot Spin Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B+
Aditya Sales,Specialty Retail,Term Loan Facilities,Stable,CRISIL B-
Aditya Spinners Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Aditya Steel Rolling Mills Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL B-
Aditya Translink Private Limited,Engineering & Capital Goods,Term Loan Facilities,Stable,CRISIL B
